Company,Product,Style,Rating
JML,Supreme Bowl Noodles With Stewed Egg Sour Beans With Pork Flavour,Bowl,4.0
JML,Spicy King Spicy Beef,Pack,5.0
JML,Supreme Bowl Noodles With Stewed Egg Braised Beef Flavour,Bowl,3.5
JML,Spicy King Bowl Noodle Spicy Pork,Bowl,4.5
Mamee,Chef Lontong Flavour,Pack,5.0
New Touch,Negi Miso No Ippin Ramen,Bowl,5.0
Mama,Instant Noodles Shrimp Tom Yum Flavour,Pack,4.0
Paldo,Bulnak Boeummyun King Noodle,Bowl,3.5
Nissin,Cup Noodles Ramen Noodles With Shrimp (New Package) ,Cup,3.5
Pirkka,Nuudeli Tom Yum Katkarapu,Pack,3.75
Ishimaru,Tuna Flavor Ramen,Pack,4.5
Mom's Dry Noodle,Sesame & Pepper,Pack,4.0
Authentically Asian,Natural Quality Foods Pad Thai Noodle Bowl,Bowl,1.0
New Touch,Homestyle Tonjiru,Bowl,4.5
Vit's,Duck Instant Noodles,Pack,3.5
iMee,Instant Noodles Beef Flavour,Pack,3.25
A-Sha Dry Noodle,Veggie Noodle Carrot Noodle With Original Sauce,Pack,4.25
Mama,Oriental Style Instant Noodles Hot & Spicy Flavour,Pack,4.0
Paldo,King Bowl Super Spicy Pan Stirfried Noodle,Bowl,5.0
Thai Smile,Garlic Rice Noodle Soup Bowl,Bowl,3.5
Kuriki,Mayo Ramen,Pack,4.75
Mom's Dry Noodle,Spicy & Sour Flavor,Pack,5.0
Mi Sedaap,Instant Cup Mi Kuah Rasa Soto,Cup,5.0
Yum Yum,Jumbo Instant Noodles Tom Yum Kung Creamy Flavour,Pack,5.0
Azami,Chili Chicken Flavour Noodle Soup,Cup,3.0
Vit's,Curry Instant Noodles,Pack,3.5
Marutai,Ramen Shoyu Taste,Bowl,4.25
Unox,Good Noodles Kerrie,Pack,3.5
A-Sha Dry Noodle,Veggie Noodle Baby Grass Noodle With Toona Sauce,Pack,5.0
Mama,Rangers Snack Noodles Shrimp Tom Yum Flavour,Pack,4.5
Aroi,Curry Me! Penang White Curry Stir-fry Noodle,Pack,4.5
Myojo,Udon Japanese Style Pre-Cooked Noodles With Soup Chicken Flavor,Bowl,2.5
Master Kong,Braised Beef Noodle,Pack,4.25
Nissin,Raoh Tanrei Koku Shio Ramen,Bowl,4.5
Little Cook,Instant Noodles Shrimp Tom Yum Flavour,Cup,4.25
Mi Sedaap,Instant Cup Mi Goreng,Cup,3.75
Mamee,Monster Snek Mi Pedas,Pack,5.0
Koka,Laksa Singapura,Pack,4.25
Bonasia,Instant Noodles Beef Flavour,Pack,3.75
Super,Seafood Flavour Noodles,Cup,3.25
Mama,Instant Noodles Creamy Shrimp Tom Yum Flavour,Pack,5.0
Wu-Mu,BBQ Pork Flavor Chow Mein,Pack,4.5
Vedan,Zan Vegetarian Instant Noodle Series Shiitake Mushroom Flavour,Cup,2.75
Yamadai,Tenobe Somen,Bowl,3.25
Wei Lih,Jah Jan Men,Bowl,5.0
Vina Acecook,Oh! Ricey Pho Ga,Bowl,3.0
A-Sha Dry Noodle,Veggie Noodle Black Sesame Noodle,Pack,3.25
Pirkka,Nuudeli Liha Nudlar Kott,Pack,3.5
Baixiang Noodles,Artificial Beef Instant Noodles With Soup Base,Pack,3.75
CarJEN,Otentiq Cheezy Curry Instant Noodles,Pack,4.5
Salam Mie,Mi Goreng Dengan Abon,Pack,4.25
Wai Wai,Grilled Pork Flavour Instant Noodles,Bowl,2.5
Vina Acecook,Hao Hao Sate Onion Flavour,Cup,2.5
Lee Fah Mee,Sarawak White Laksa Instant Noodle,Pack,4.0
Mama,Instant Noodles Egg Protein Noodles,Pack,3.5
Yum Yum,Instant Noodles Minced Pork Flavor,Pack,3.75
Master Kong,Sichuan Hot Spicy Fish,Pack,3.75
CarJEN,Otentiq Cheezy Mushroom Instant Noodles,Pack,5.0
Sakurai Foods,Organic Miso Ramen,Pack,4.5
Hao Way,Vegetarian Penang Laksa,Pack,4.0
Chering Chang,Instant Non-Fried Noodles Vegetable Curry Flavor,Pack,5.0
Asia Gold,Instant Noodles With Shrimp Flavouring,Pack,4.0
The Kitchen Food,Sibu Instant Kampua Original,Pack,4.0
Azami,Hot & Spicy Flavour Noodle Soup,Bowl,3.5
Maggi,Hot Cup Goreng Perencah Cili Fiesta,Cup,4.75
Premiere,Gold Bihun Kari Heritage Instant Rice Vermicelli,Pack,4.5
Baixiang Noodles,Sour & Spicy Flavour,Pack,3.75
7 Select/Nissin,Super Tom Yum Shrimp,Cup,3.5
Samyang Foods,Seafood Noodle,Cup,2.75
Sakurai Foods,Organic Shoyu Ramen,Pack,4.25
A-Sha Dry Noodle,Hakka Flat Noodle With Za Jiang Sauce,Pack,4.0
Vit's,Mi goreng Pedas Chewy & springy,Pack,3.5
Maruchan,Instant Lunch Chicken Tortilla Flavor Ramen Noodles With Vegetables,Cup,4.0
The Kitchen Food,Instant Kampua Dark Soy Sauce,Pack,5.0
Mama,Cup Yentafo Tom Yum Mohfai,Cup,5.0
Mama,Cup Shrimp Creamy Tom Yum,Cup,5.0
Mama,Instant Rice Vermicelli Bihun Goreng Original Flavour,Pack,4.75
Mama,Instant Noodles coconut Milk Flavour,Cup,5.0
Mama,Oriental Style Instant Noodles Chicken Flavour,Pack,3.25
Mama,Instant Cup Noodles Minced Prok Flavor,Cup,3.5
Wugudaochang,Sour Bamboo Shoot & Beef If Hot Pot Flavor Noodles,Bowl,4.0
Wugudaochang,Tomato Beef Brisket Flavor Purple Potato Noodle,Pack,5.0
Wugudaochang,Sea Tangle & Sparerins Flavor Noodles,Bowl,3.75
Wugudaochang,Chef's Grains Millet Noodle,Pack,3.75
Wugudaochang,Chef's Grains Buckwheat Noodle,Pack,3.5
Wugudaochang,Chef's Grains Pea Noodle,Pack,4.0
Wugudaochang,Sichuan Pepper & Chicken Flavor Noodle,Bowl,4.5
Wugudaochang,Sour Soup & Minced Meat Flavor Chef's Grain Naked Oat Noodles,Pack,5.0
Aroi,Curry Me! Penang White Curry Soup Noodle,Pack,4.5
Ten-In,Veggie World Vegetarian Braised Beef Instant Noodles,Bowl,3.5
Nongshim,Shin Black Spicy Po-Au-Feu Flavor (Mew Edition),Pack,5.0
Paldo,Raobokki Noodle (Export Version),Pack,5.0
A1,Emporer Herbs Chicken Noodle,Pack,4.25
Baixiang Noodles,Sauerkraut Flavor,Pack,4.5
Emart,Dare You! Habanero Ramen (New Edition),Cup,3.5
Lishan Food Manufacturing,Black Cock Brand Vegetarian Chicken Noodle,Pack,3.5
Azami,Chili Seafood Flavor Noodle Soup,Cup,3.25
Ah Lai,Penang Favourite White Curry Rice Vermicelli,Pack,5.0
Tropicana Slim,Less Fat Noodles Grilled Chicken,Pack,3.75
A-One,Mi Ly Instant Noodles Mi Chay Vegetarian Flavor,Cup,1.25
Mama,Cup Rice Vermicelli With Clear Soup,Cup,3.5
Deshome,Aloe Thin Noodles With Camelia Oil Vegetable Sauce Flavor,Pack,5.0
Vifon,Curry Instant Noodle With Chicken,Cup,3.0
Paldo Vina,Koreno Premium Mushroom Flavor,Pack,1.5
Mamee,Oriental Noodles Prawn Flavor,Pack,2.0
Vina Acecook,King Chef Authentic Kimchi Flavour,Pack,4.0
Mama,Non-Fried Instant Noodles Ramen Tonkotsu Flavor,Pack,5.0
Chencun,Senior Food Rice Noodle Fragrant Peppery Beef,Cup,3.75
Sau Tao,Ho Fan Wonton Soup Flavored,Pack,3.0
United,Xi Gon Satay Onion Flavor,Pack,2.75
ChoripDong,Hurricane Rice Cake (Topokki),Bowl,5.0
Shan,Shoop Instant Noodles Bombay Biryani Flavour,Pack,2.75
Mama,JokCup Instant Porridge Soup Seafood Flavour,Cup,3.5
Baijia,Artificial Pickled Vegetable Beef Flavor,Pack,3.0
MyOri,Malaysia Penang White Curry Noodle Super Spicy,Pack,5.0
MyOri,Malaysia Penang Green Curry Rice Vermicelli,Pack,5.0
MyOri,Malaysia Penang White Curry Noodle Original,Pack,5.0
Ruski,Chicken Flavour Instant Noodles,Pack,3.75
Ottogi,Sesame Flavor Ramen Korean Style Instant Noodle,Pack,4.25
Master Kong,Seafood Flavour Instant Cooking Noodles,Pack,4.25
Wei Lih,Instant Noodles With Onion Flavour,Pack,4.25
No Name,Shrimp Flavour Oriental Noodles And Soup Mix,Cup,2.75
New Way,Spaghetti Instant Noodles,Tray,4.0
Lucky Me!,Supreme Jjamppong Korean Style Spicy Seafood Soup,Bowl,3.75
Hao Way,Vegetarian Penang Laksa Instant Bowl Noodles,Bowl,2.0
Emart,Dare You! Habanero Jjajang Ramen,Cup,3.5
Campbell's,Hearty Noodles Savoury Beef Flavour,Cup,0.25
One Dish Asia,Japanese Ramen Noodle,Bowl,0.0
Long Jun Hang,Taiwan Dried Noodles With Onion Oil Sauce,Pack,2.0
Pama,Bihun Creamy Tom Yam Flavour,Cup,3.75
A-Sha Dry Noodle,Veggie Noodle Tomato Noodle With Vine Ripened Tomato Sauce,Pack,5.0
Thai Chef,Instant Nudelsuppe Huhn Geschmack,Pack,3.0
Shan,Shoop Instant Noodles Masala Flavour,Pack,3.25
Wai Wai,Quick Zabb Tom Klong Flavour Instant Noodles,Pack,2.75
Samyang Foods,Shoyu Noodle,Cup,3.5
A-One,Mi Ly Instant Noodles Mi Bo Beef Flavor,Cup,3.5
Cintan,Mi Segera Mmm... Perisa Kari,Pack,3.0
Nissin,Donbei Tempura Soba Mini,Bowl,4.0
Nongshim,Korean Clay Pot Ramyun,Bowl,2.5
Hao Way,Penang Laksa Instant Bowl Noodles,Bowl,3.5
Azami,Kimchee Noodle Soup,Cup,0.0
Vedan,Wei Wei A Instant Noodles Hot Beef Flavour,Bowl,2.5
Nissin,Gonbuto Kistune Udon,Bowl,2.75
Mama,Instant Rice Noodle Soup Spicy Shrimp Flavour,Bowl,5.0
Baixiang Noodles,Artificial Pork Flavour,Pack,3.0
MyKuali,Penang White Curry Noodle (New Improved Tatse),Pack,5.0
Nongshim,Quick2 Hot & Spicy Noodle Soup With Habanero & Lime,Pack,4.0
Myojo,MenWhite Creamy Tonkotsu,Bowl,3.0
Premiere,Gold Penang Asam Laksa Bihun,Pack,3.25
Nissin,Chu Qian Yi Ding Tom Yum Instant Noodles With Soup Base,Pack,3.75
Deshome,Aloe This Noodles With Camellia Oil Spicy Bean Sauce Flavor,Pack,2.5
MyKuali,Penang Hokkien Prawn Noodle (New Improved Taste),Pack,5.0
Unif-100,Instant Noodles Artificial Spicy Beef Flavor (New Package),Pack,3.5
Hankow,Shanghai Kaiyang Noodle,Pack,4.0
The Bridge,Penang White Curry Noodle,Pack,5.0
Maruchan,Kaoru Maitake Tempura Udon,Bowl,3.25
Shan,Shoop Instant Noodles Spicy Lemon Flavour,Pack,3.25
Lucky Me!,Supreme Seafood Flavor Big Cup,Bowl,4.0
Paldo Vina,Koreno Premium Ginseng Flavor,Pack,3.0
Mitoku,Brown Rice Ramen,Pack,0.25
Hao Way,Penang Vegetarian Prawn Instant Noodles,Pack,4.5
Myojo,Nyumen Desse Shoyu,Bowl,2.75
Maggi,Perencah Kari Letup Mi Segera,Pack,4.0
Nissin,Demae Iccho Mushroom With Vegetables Flavour Macaroni,Pack,3.5
Unzen,Mushroom Honpo Shiitake Nutritious Noodle,Pack,1.0
Salam Mie,Mi Goreng Ala Jawa Dengan Sambal Cabe Asli,Pack,5.0
Vina Acecook,Mikochi Tom Yum Flavor Instant Noodles,Pack,3.5
Nongshim,Jinjja Jinjja (New),Pack,5.0
Chering Chang,Instant Non-Fried Noodles Shallot Pork Flavour,Pack,5.0
Nissin,Top Ramen Super Noodles Tomato,Pack,3.5
Mama,Cup Rice Vermicelli Shrimp Creamy Tom Yum,Cup,4.0
Nissin,Original Chow Mein Premium Spicy Chicken Flavor,Tray,4.0
Uncle Sun,White Curry Noodle More Spicy,Pack,3.0
JML,Emporer Instant Noodles Spicy Chicken,Pack,5.0
Acecook,Jan Jan Dashi Shoyu Yakisoba,Cup,2.25
Nongshim,Tteokgukmyun,Pack,4.25
Mom's Dry Noodle,Vegan Chilli With Sesame Sauce,Pack,5.0
Mi E-Zee,Perisa Sayuran,Pack,3.5
Mi E-Zee,Perisa Kari Sayuran,Pack,3.75
E-mi,Mi Perencah Ayam Jagung,Pack,3.75
Mi E-Zee,Perisa Bayam,Pack,3.5
J.J.,Snek Mi Perisa Ayam,Pack,3.75
CarJEN,Nyonya Curry Laksa,Pack,5.0
E-mi,Mi Perencah Asam Pedas,Pack,3.75
J.J.,Snek Mi Perisa BBQ,Pack,4.0
Mi E-Zee,Perisa Kari / Curry Flavour,Pack,4.0
United,3 Con Tom Instant Noodles Thailand Sour Shrimp Flavor,Pack,2.75
Curry Prince,Penang Authentic White Curry Noodle,Pack,4.0
Nissin,Gonbuto Tempura Udon,Bowl,4.0
Mama,Pork Flavour Whole Wheat Noodle,Pack,3.75
Maggi,Authentic Indian Noodles Vegetable Atta Masala,Pack,3.75
Paldo,Jjajangmen Chajang Noodle King Bowl,Bowl,5.0
Chering Chang,Steam Vegetarian Flavor Noodles,Pack,3.5
Hao Way,Penang White Curry Instant Bowl Noodles,Bowl,4.75
Master Kong,Artificial Seafood Flavor Instant Noodle,Pack,3.75
Econsave,Choice Instant Noodles Curry Flavour,Pack,3.5
Maruchan,"Big Cup Ramen Corn, Salt & Butter Flavor",Bowl,5.0
Maggi,Mi Goreng Perencah Kari Ori,Pack,4.0
Mama,Instant Noodles Cup Beef Flavour,Cup,3.5
Nissin,Emergency Cup Noodle,Cup,4.25
Nissin,Cup Noodles Tomato Enjoy Noodles With Hot Soup,Cup,3.25
Oyatsu,Baby Star Snack Noodle Chicken Flavour,Pack,2.5
A-One,Mì Ly Instant Noodles Mì Thịt Xào Pork Flavor,Cup,3.0
Nongshim,Shin Ramyun Noodle Soup (New Edition),Pack,4.25
Koka,Purple Wheat Noodles Soy & Vinegar Flavor,Pack,2.75
Uncle Sun,White Curry Noodle,Pack,4.5
Kin-Dee,Instant Rice Noodle Spicy Seafood,Tray,3.75
Master Kong,Spicy Beef Flavor Instant Noodle,Pack,4.0
No Name,Beef Flavour Oriental Noodles And Soup Mix,Cup,2.0
Hao Way,Penang Laksa ,Pack,3.5
Ko-Lee,Instant Noodles Taste Sensation Mixed Vegetable Flavour,Pack,3.5
ICA,Asia Fast Noodles Snabbnudlar Räksmak,Pack,3.0
Mamee,Mi Segera Perisa Itik,Pack,3.75
Bamee,Oriental Style Instant Noodles Pa-Lo Duck Flavour,Pack,3.5
Myojo,Men Black Seafood Tonkotsu,Bowl,3.5
Ibumie,Penang White CurryMee,Pack,5.0
Sapporo Ichiban,Chow Mein Japanese Style Noodles Yakisoba,Pack,5.0
Samyang Foods,Curry Noodle,Cup,3.75
Vedan,Volcano Spicy Pork Noodle,Bowl,4.25
Nissin,Demae Rice Vermicelli Beef Flavour,Pack,3.5
Nanyang Chef,Penang Asam Pedas Hot & Sour Noodle,Pack,5.0
Thai Pavilion,Pad Thai Instant rice Noodles & Sauce,Tray,1.5
Maggi,2 Minute Noodles Hungrooo Masala Spicy,Pack,3.75
Koka,Noodles Beef Flavour,Cup,2.5
Wu-Mu,Steam Pork Flavour,Pack,3.75
Unif-100,Instant Noodles Artificial Shallot Beef Flavour,Pack,4.25
New Touch,Kimchi Noodle,Bowl,3.5
Sau Tao,Oat Noodle Tomato Soup Flavored,Pack,4.5
Wai Wai,Quick Zabb Chili Paste Tom Yum Flavour Instant Noodles,Pack,3.75
Paldo Vina,Koreno Premium Shrimp Flavor,Pack,3.25
Sau Tao,Oat Noodle Pork Rib Flavored,Pack,3.5
Vit's,Seafood Instant Noodles,Pack,3.75
Miliket,Sate Flavor Instant Noodles,Pack,3.75
Lucky Me!,Special Instant Noodles Jjamppong Flavor,Pack,4.5
Lucky Me!,Special Instant sopas Chicken Flavor,Pack,3.75
Lucky Me!,Spicy Beef Mami Instant Noodle Soup,Pack,4.0
Lucky Me!,Special Instant Curly Spaghetti With Yummy Red Sauce,Pack,4.0
Lucky Me!,Supreme Pinoy Chicken Instant Noodles,Cup,3.25
Lucky Me!,Special Baked Mac Style Instant Macaroni,Pack,4.5
Lucky Me!,La Paz Batchoy Instant Noodle Soup,Pack,3.75
Pama,Instant Kua Teow Tom Yam,Cup,3.75
Nissin,Chu Qian Yi Ding Spicy Sesame Flavour Instant Noodles With Soup Base,Pack,3.5
Paldo,Jjamppong Seafood Noodle King Bowl,Bowl,5.0
Vifon,Instant Porridge Seafood Flavour,Pack,3.25
Maruchan,Gotsumori Sauce Yakisoba,Tray,5.0
Yum Yum,Oriental Style Instant Noodles Wasabi Flavour,Pack,3.0
Ching's Secret,Manchurian Instant Noodles,Pack,3.5
Mamee,Chef Gold Recipe Bihun Kari Seribu Rasa,Pack,4.5
Katoz,Instant Noodles Spicy Chili,Pack,3.5
Men-Sunaoshi,Miso Ramen,Pack,3.75
Nongshim,Neoguri Udon Seafood & Mild,Pack,4.0
Maggi,Royale Penang Seafood Curry,Pack,4.5
Mama,Instant Noodles Tom Yum Pork Flavour,Pack,4.0
Chewy,Japanese Fried Ramen Noodles Kyoto Barbecue Sauce Flavour,Pack,1.75
Long Jun Hang,Tainan Yi Mien With Sesame Oil Sauce,Pack,3.25
Knorr,Quick Serve Macaroni Wonton Broth,Pack,3.25
Nissin,Donbei Kitsune Udon Mini,Bowl,3.5
Mamee,Chef Gold Recipe Mi Kari Seribu Rasa,Pack,5.0
Nissin,Chu Qian Yi Ding Prawn Flavour Instant Noodles With Soup Base,Pack,3.5
Nissin,Cup Noodles Mug Noodles Spicy Vegetable,Pack,3.75
Shan,Shoop Instant Noodles BBQ Flavour,Pack,3.25
Master Kong,Stewed Beef Flavor Cooking Noodle,Pack,4.25
Nongshim,Bowl Noodle Soup Shrimp Habanero Lime Flavor,Bowl,3.25
JML,Artificial Pork Flavor Noodles,Pack,4.0
Acecook,Ohmori Chukafu Yakisoba,Tray,3.25
United,Instant Noodles Xi Gon Artificial Stewed Beef Flavor,Pack,3.25
Samyang Foods,Sogokimyun Hot Flavor Noodle Soup,Pack,3.5
Nissin,Easy Fideos Picante Lime Shrimp Flavor Ramen Noodle Soup,Cup,3.5
Master Kong,Mianba Pork Ribs Flavor Instant Noodles,Pack,4.5
Super,Instant Noodles Mee Goreng,Cup,3.75
Indomie,Pop Mie Chicken Flavour Cup Noodles,Cup,3.5
Maruchan,Magomi-an Kitsune Udon (Eastern Japan Flavor),Bowl,4.25
Wai Wai,Quick Zabb Tom Yum Shrimp Flavour Instant Noodles,Pack,4.0
Ottogi,Potato Ramen,Pack,3.75
Nissin,Soba Chili Noodles With Japanese Yakisoba Sauce,Cup,3.5
Maggi,Multigrainz Noodles Spice Remix,Pack,3.25
Mom's Dry Noodle,Sichuan Spicy Flavor,Pack,5.0
ICA,Asia Snabbnudlar Kycklingsmak,Pack,3.25
Mom's Dry Noodle,Onion Oil & Shrimp Flavor,Pack,5.0
Nongshim,Spicy Tonkotsu Noodle Soup,Pack,5.0
Ibumie,Mee Baa..Gus Mi Goreng Spicier Original Flavour,Pack,3.75
Four Seas,Hot & Spicy Instant Noodle (Mushroom & Beef Flavour),Pack,4.0
Maruchan,I Want To Eat Ramen' Shoyu Flavor,Pack,4.0
Master Kong,Mushroom Stew Chicken Ramen,Pack,3.5
Paldo,Jjol Bibim Men,Pack,4.0
Nissin,Cup Noodles Easy Fideos Tomato Chicken Flavor Ramen Noodle Soup,Cup,3.5
Ruski,Tom Yam Flavour Instant Noodles,Pack,4.0
Mama,Instant Noodles Moo Nam Tok Flavour,Pack,4.0
Thai Chef,Instant Nudelsuppe Shrimp Flavour,Pack,3.5
Bamee,Cup Oriental Style Instant Noodles Chicken Flavour,Cup,3.25
Mama,Instant Noodle Shrimp Tom Yum Flavour Jumbo Pack,Pack,4.0
Mama,Instant Cup Noodles Shrimp Tom Yum Flavour (Extreme),Cup,5.0
Ruski,Chicken Masala Flavour Instant Fried Noodles,Pack,3.75
Mama,Instant Noodles Shrimp Creamy Tom Yum Flavour Jumbo Pack,Pack,5.0
Mama,Instant Cup Noodles Spicy Cheese Flavour,Cup,3.5
Bamee,Oriental Style Instant Noodles Beef Flavour,Pack,3.25
Mama,Instant Cup Noodles Seafood Pad Kee Mao Flavour,Cup,5.0
Ruski,Creamy Tom Yam Instant Noodles,Pack,4.5
Mama,Oriental Style Instant Noodles Green Curry Flavour Jumbo Pack,Pack,5.0
Thai Chef,"Shrimp ""Tom Yum"" Instant Nudelsuppe",Pack,3.5
Nanyang Chef,Penang White curry Noodle With Nanyang Chilli Paste,Pack,4.75
Maruchan,Instant Lunch California Vegetable Ramen Noodles With Vegetables,Cup,3.5
Wei Lih,Steam Instant Noodles Korean Salt & Rib Soup Flavour,Bowl,2.25
Nissin,Premium Instant Noodles Spicy Beef Flavour,Pack,3.75
Nissin,Cup Noodles Tom Yam Veg Flavour,Cup,4.0
Nissin,Premium Instant Noodles Roasted Beef Flavour,Bowl,3.75
Nissin,Chu Qian Yi Ding Sesame Oil Flavour,Pack,3.75
Nissin,Cup Noodles Chicken Flavour,Cup,3.5
Nissin,Premium Instant Noodles XO Sauce Seafood Flavour,Pack,3.75
Nissin,Japanese Ramen Kyushu Black Instant Noodles With Soup Base,Pack,5.0
Nissin,Japanese Ramen Tokyo Shoyu Instant Noodles With Soup Base,Pack,5.0
Nissin,Cup Noodles Seafood Curry Flavour,Cup,4.0
Nissin,Cup Noodles Cream Of Chicken Flavour,Cup,4.0
Myojo,Ippei-Chan Jumbo Night Market Style Yakisoba,Tray,4.5
MyKuali,Penang Hokkien Prawn Noodle,Pack,5.0
Maruchan,Instant Lunch Jalapeno Cheddar Flavor Ramen Noodles,Cup,3.5
Nongshim,Harmony Korean Spicy Noodle Dish With Chipotle,Pack,4.25
Maggi,2 Minute Noodles Tom Yam Flavour,Pack,3.5
Nissin,Souper Meal Chili Picante Chicken With Lime Flavor Ramen Noodle Soup,Bowl,3.5
Wu-Mu,Dried Noodle With Beef Flavor Sauce,Pack,3.0
Adabi,Mi Segera Mi Goreng Pedas Instant Noodles,Pack,3.5
Maruchan,Old Style Miso Ramen,Pack,3.5
Knorr,Quick Serve Macaroni Abalone & Chicken Flavour,Pack,3.0
Chencun,Rice Noodle Beef With Brown Sauce,Cup,3.5
Maggi,2 Minute Noodles Assam Laksa Flavour,Pack,4.0
Maggi,Hot Cup Perisa Kari,Cup,3.5
Maggi,Senses Laksa Instant Noodles,Pack,5.0
Maggi,Extra Spicy Curry Instant Noodles,Pack,5.0
Samyang Foods,Buldak Bokkummyeon,Bowl,4.0
Nissin,Sabor A Gallina Fideos Con Instantanea,Pack,3.5
Myojo,Chukazanmai Beijing Style Salt Ramen,Pack,3.0
Osaka Ramen,Miso Ramen,Bowl,3.75
Ottogi,Cheese Bokki,Bowl,4.0
Hao Way,Instant Penang White Curry Noodles,Pack,4.5
Sainsbury's,Curry Flavour Instant Noodles,Pack,1.5
Vina Acecook,King Chef Seafood With Kimchi Flavour,Pack,3.0
Nissin,Pan Asian Kitchen Spicy Szechuan Chicken Flavor Ramen Noodles,Tray,3.0
Nongshim,Korean Clay Pot Ramyun Noodle,Cup,2.75
Maruchan,I Want To Eat Ramen Shio,Pack,3.75
Vifon,Ngon-Ngon Tom Yum Minced Pork Noodle,Cup,3.5
Ottogi,Ppushu Ppushu Grilled Chicken Flavor,Pack,1.0
Sau Tao,Oat Noodle Abalone Flavored,Pack,1.75
Myojo,Chukazanmai Szechuan Style Miso,Pack,2.0
Chewy,Instant Rice Vermicelli Original Flavour,Pack,0.5
Paldo,Cheese Ramyun (for US market),Pack,5.0
Chering Chang,Curry La-Men,Pack,5.0
Chewy,Non-Fried Ramen Noodles Taiwan Roast Pork Flavour,Pack,4.0
A-Sha Dry Noodle,Prince Katsu Snack Noodles,Pack,4.0
Adabi,Mi Segera Tom Yam Instant Noodles,Pack,3.25
Baixiang Noodles,Spicy Artificial Beef Flavour Instant Noodles With Soup Base,Pack,3.5
Pamana,Chicken Sopas Creamy Macaroni Soup,Cup,3.5
Annie Chun's,Ramen House Thai Coconut Ramen,Pack,5.0
La Fonte,Spaghetti With Mushroom Sauce,Pack,3.75
Maggi,Masala Dumdaar Noodles,Pack,3.75
Thai Choice,Instant Noodles Seafood Flavour,Cup,4.0
Tesco,Everyday Value Chicken & Mushroom Flavour,Cup,0.5
Pop Bihun,Spesial Rasa Kari Ayam Pedas,Pack,3.75
Myojo,Yomise No Yakisoba Shiodare Flavor With Black Pepper Mayonnaise,Tray,3.75
Pulmuone,Nature Is Delicious Non-Fried Ramyun (Spicy Flavor) (New Version),Pack,3.75
Vina Acecook,Oh! Ricey Pho Bo Instant Rice Noodles,Bowl,3.75
Nissin,Fried Noodle Specialist Tom Yam Mee Goreng Flavour,Pack,3.0
Wu-Mu,Steam Seafood Flavor Ramen,Pack,4.0
Oyatsu,Baby Star Snack Noodle Yakisoba Flavor,Pack,4.75
Snapdragon,Singapore Laksa Curry Soup Bowl,Bowl,4.25
Paldo,Mild Kokomen (Prototype),Pack,4.5
Saji,Sajimee Curry Soup Flavour,Pack,4.25
Miracle Noodle,Miso Marvellous Soup,Pack,4.0
Shan,Shoop Instant Noodles Chicken Flavour,Pack,3.5
Indomie,Mi Goreng Rasa Iga Penyet,Pack,4.75
Tiger Tiger,Traveller's Choice Thai Red Curry Flavour Instant Noodles,Pack,1.75
Paldo,Barbecue Ramyun (Prototype),Pack,3.75
Takamori Kosan,Red Pepper 7 Garlic Peperoncino,Pack,4.0
Takamori Kosan,Sukiyaki Style Noodle Stew,Pack,4.5
Takamori Kosan,Yaki-Udon Roast Soy Sauce,Pack,3.75
Takamori Kosan,Hiyashi Udon Bonito Sauce,Pack,3.0
Takamori Kosan,Futomen Yakisoba,Pack,4.75
Takamori Kosan,Hiyashi Chuka Lemon Sauce,Pack,4.75
Takamori Kosan,Curry Udon,Pack,5.0
Takamori Kosan,Chanpon,Pack,3.75
Takamori Kosan,Shio Yakisoba,Pack,4.0
Takamori Kosan,Yakisoba,Pack,5.0
Takamori Kosan,Yaki-Udon Mild Spicy Sauce,Pack,4.25
Takamori Kosan,Katsuo Dashi Udon,Pack,3.75
Takamori Kosan,Spaghetti Napolitan,Pack,4.0
Tokyo Noodle,Spicy Garlic Ramen,Pack,3.25
Tesco,Everyday Value Beef & Tomato Flavour Noodles,Cup,2.0
Samyang Foods,Nagasaki Jjamppong,Cup,3.75
Campbell's,Hearty Noodles Thai Flavour,Cup,0.0
Papa,Oriental Style Instant 'Kua-Chap',Pack,3.25
A-Sha Dry Noodle,Hello Kitty Za Jiang (Soybean Sauce),Pack,3.25
Nissin,Soba Teriyaki Noodles With Japanese Yakisoba Sauce,Cup,3.0
Sawadee,Instant Noodles Vegetable & Mushroom Flavour,Pack,1.5
Nongshim,Sir Long Tang Creamy Beef Noodle Soup,Cup,4.25
Four Seas,Seaweed Hot & Spicy Instant Noodle Mushroom & Beef Flavour,Bowl,3.5
Golden Wheat,Korean Style Stew Pork Flavour Noodle Soup,Bowl,1.75
Sau Tao,Instant Noodle King Won Ton Flavor,Pack,2.75
Mamee,Instant Noodles Curry Flavour,Pack,3.5
Mamee,Chef Creamy Tom Yam Flavour,Pack,5.0
Mamee,Monster BBQ Flavour Snack Noodles,Pack,3.75
Mamee,Chef Curry Laksa Flavour,Cup,5.0
Mamee,SLLRRRP! Asam Laksa,Pack,4.0
Mamee,Mie Goreng Indonesia Spicy Sambal,Cup,5.0
Mamee,Chef Spicy Chicken Shiitake Flavour,Pack,3.25
Mamee,Instant Vermicelli Chicken Flavour,Pack,3.25
Mamee,Instant Noodles Vegetarian Flavour,Pack,3.75
Mamee,SLLRRRP! Kari Berapi,Pack,3.75
Mamee,Monster Chicken Flavour Snack Noodles,Pack,4.0
