Lead Number,Type of Ad Seen
617676,Not Applicable
617669,Not Applicable
617634,Not Applicable
617630,Not Applicable
617625,Not Applicable
617618,Not Applicable
617613,Not Applicable
617610,Not Applicable
617576,Not Applicable
617567,Not Applicable
617566,Not Applicable
617559,Not Applicable
617554,Not Applicable
617545,Not Applicable
617544,Not Applicable
617520,Not Applicable
617515,Not Applicable
617497,Not Applicable
617495,Not Applicable
617482,Not Applicable
617432,Not Applicable
617419,Not Applicable
617405,Not Applicable
617401,Not Applicable
617400,Not Applicable
617392,Not Applicable
617386,Not Applicable
617368,Not Applicable
617361,Not Applicable
617354,Not Applicable
617346,Not Applicable
617313,Not Applicable
617307,Not Applicable
617272,Not Applicable
617259,Not Applicable
617258,Not Applicable
617248,Not Applicable
617235,Not Applicable
617228,Not Applicable
617223,Not Applicable
617213,Not Applicable
617188,Not Applicable
617172,Not Applicable
617146,Not Applicable
617125,Not Applicable
617123,Not Applicable
617119,Not Applicable
617100,Not Applicable
617081,Not Applicable
617071,Not Applicable
617063,Not Applicable
617043,Not Applicable
617035,Not Applicable
617028,Not Applicable
617008,Not Applicable
617003,Not Applicable
617000,Not Applicable
616994,Not Applicable
616985,Not Applicable
616965,Not Applicable
616959,Not Applicable
616955,Not Applicable
616944,Not Applicable
616924,Not Applicable
616923,Not Applicable
616910,Not Applicable
616901,Not Applicable
616885,Not Applicable
616851,Not Applicable
616848,Not Applicable
616844,Not Applicable
616820,Not Applicable
616780,Not Applicable
616777,Not Applicable
616772,Not Applicable
616761,Not Applicable
616758,Not Applicable
616756,Not Applicable
616749,Not Applicable
616744,Not Applicable
616739,Not Applicable
616733,Not Applicable
616732,Not Applicable
616725,Not Applicable
616721,Not Applicable
616720,Not Applicable
616706,Not Applicable
616699,Not Applicable
616697,Not Applicable
616685,Not Applicable
616684,Not Applicable
616664,Not Applicable
616661,Not Applicable
616642,Not Applicable
616626,Not Applicable
616621,Not Applicable
616614,Not Applicable
616607,Not Applicable
616598,Not Applicable
616597,Not Applicable
616596,Not Applicable
616592,Not Applicable
616591,Not Applicable
616586,Not Applicable
616581,Not Applicable
616576,Not Applicable
616572,Not Applicable
616567,Not Applicable
616561,Not Applicable
616560,Not Applicable
616540,Not Applicable
616534,Not Applicable
616531,Not Applicable
616521,Not Applicable
616514,Not Applicable
616507,Not Applicable
616506,Not Applicable
616493,Not Applicable
616460,Not Applicable
616456,Not Applicable
616453,Not Applicable
616444,Not Applicable
616442,Not Applicable
616421,Not Applicable
616420,Not Applicable
616401,Not Applicable
616397,Not Applicable
616382,Not Applicable
616359,Not Applicable
616349,Not Applicable
616347,Not Applicable
616332,Not Applicable
616325,Not Applicable
616275,Not Applicable
616261,Not Applicable
616247,Not Applicable
616237,Not Applicable
616232,Not Applicable
616225,Not Applicable
616210,Not Applicable
616206,Not Applicable
616185,Not Applicable
616183,Not Applicable
616173,Not Applicable
616164,Not Applicable
616152,Not Applicable
616149,Not Applicable
616146,Not Applicable
616143,Not Applicable
616130,Not Applicable
616127,Not Applicable
616116,Not Applicable
616102,Not Applicable
616085,Not Applicable
616074,Not Applicable
616073,Not Applicable
616068,Not Applicable
616067,Not Applicable
616059,Not Applicable
616058,Not Applicable
616049,Not Applicable
616047,Not Applicable
616046,Not Applicable
616037,Not Applicable
616035,Not Applicable
616023,Not Applicable
616018,Not Applicable
616009,Not Applicable
616003,Not Applicable
616002,Not Applicable
615997,Not Applicable
615988,Not Applicable
615968,Not Applicable
615964,Not Applicable
615958,Not Applicable
615952,Not Applicable
615950,Not Applicable
615948,Not Applicable
615932,Not Applicable
615929,Not Applicable
615917,Not Applicable
615912,Not Applicable
615906,Not Applicable
615899,Not Applicable
615885,Not Applicable
615883,Not Applicable
615878,Not Applicable
615877,Not Applicable
615865,Not Applicable
615853,Not Applicable
615844,Not Applicable
615839,Not Applicable
615827,Not Applicable
615813,Not Applicable
615809,Not Applicable
615804,Not Applicable
615801,Not Applicable
615795,Not Applicable
615769,Not Applicable
615754,Not Applicable
615753,Not Applicable
615740,Not Applicable
615737,Not Applicable
615722,Not Applicable
615719,Not Applicable
615713,Not Applicable
615707,Not Applicable
615705,Not Applicable
615704,Not Applicable
615700,Not Applicable
615687,Not Applicable
615679,Not Applicable
615658,Not Applicable
615645,Not Applicable
615643,Not Applicable
615616,Not Applicable
615607,Not Applicable
615582,Not Applicable
615563,Not Applicable
615558,Not Applicable
615556,Not Applicable
615534,Not Applicable
615524,Not Applicable
615507,Not Applicable
615502,Not Applicable
615501,Not Applicable
615500,Not Applicable
615488,Not Applicable
615481,Not Applicable
615477,Not Applicable
615473,Not Applicable
615468,Not Applicable
615466,Not Applicable
615461,Not Applicable
615453,Not Applicable
615452,Not Applicable
615429,Not Applicable
615425,Not Applicable
615386,Not Applicable
615353,Not Applicable
615333,Not Applicable
615326,Not Applicable
615320,Not Applicable
615309,Not Applicable
615283,Not Applicable
615282,Not Applicable
615279,Not Applicable
615278,Not Applicable
615271,Not Applicable
615265,Not Applicable
615239,Not Applicable
615227,Not Applicable
615216,Not Applicable
615194,Not Applicable
615193,Not Applicable
615172,Not Applicable
615155,Not Applicable
615125,Not Applicable
615121,Not Applicable
615108,Not Applicable
615106,Not Applicable
615080,Not Applicable
615069,Not Applicable
615065,Not Applicable
615064,Not Applicable
615063,Not Applicable
615038,Not Applicable
615032,Not Applicable
615031,Not Applicable
615013,Not Applicable
615009,Not Applicable
614998,Not Applicable
614996,Not Applicable
614988,Not Applicable
614974,Not Applicable
614973,Not Applicable
614964,Not Applicable
614961,Not Applicable
614938,Not Applicable
614930,Not Applicable
614924,Not Applicable
614920,Not Applicable
614912,Not Applicable
614911,Not Applicable
614906,Not Applicable
614902,Not Applicable
614900,Not Applicable
614878,Not Applicable
614865,Not Applicable
614849,Not Applicable
614846,Not Applicable
614845,Not Applicable
614840,Not Applicable
614828,Not Applicable
614821,Not Applicable
614819,Not Applicable
614817,Not Applicable
614804,Not Applicable
614799,Not Applicable
614798,Not Applicable
614796,Not Applicable
614794,Not Applicable
614791,Not Applicable
614777,Not Applicable
614745,Not Applicable
614744,Not Applicable
614729,Not Applicable
614723,Not Applicable
614708,Not Applicable
614705,Not Applicable
614697,Not Applicable
614695,Not Applicable
614694,Not Applicable
614685,Not Applicable
614668,Not Applicable
614665,Not Applicable
614655,Not Applicable
614635,Not Applicable
614630,Not Applicable
614625,Not Applicable
614623,Not Applicable
614615,Not Applicable
614607,Not Applicable
614597,Not Applicable
614587,Not Applicable
614586,Not Applicable
614573,Not Applicable
614570,Not Applicable
614568,Not Applicable
614566,Not Applicable
614565,Not Applicable
614563,Not Applicable
614557,Not Applicable
614554,Not Applicable
614541,Not Applicable
614535,Not Applicable
614529,Not Applicable
614523,Not Applicable
614511,Not Applicable
614508,Not Applicable
614506,Not Applicable
614498,Not Applicable
614482,Not Applicable
614480,Not Applicable
614475,Not Applicable
614470,Not Applicable
614463,Not Applicable
614458,Not Applicable
614441,Not Applicable
614434,Not Applicable
614387,Not Applicable
614343,Not Applicable
614324,Not Applicable
614292,Not Applicable
614287,Not Applicable
614282,Not Applicable
614268,Not Applicable
614259,Not Applicable
614251,Not Applicable
614238,Not Applicable
614229,Not Applicable
614226,Not Applicable
614222,Not Applicable
614219,Not Applicable
614218,Not Applicable
614213,Not Applicable
614206,Not Applicable
614205,Not Applicable
614204,Not Applicable
614202,Not Applicable
614200,Not Applicable
614189,Not Applicable
614186,Not Applicable
614179,Not Applicable
614151,Not Applicable
614146,Not Applicable
614140,Not Applicable
614139,Not Applicable
614132,Not Applicable
614115,Not Applicable
614107,Not Applicable
614103,Not Applicable
614100,Not Applicable
614097,Not Applicable
614096,Not Applicable
614095,Not Applicable
614091,Not Applicable
614090,Not Applicable
614087,Not Applicable
614082,Not Applicable
614080,Not Applicable
614077,Not Applicable
614071,Not Applicable
614070,Not Applicable
614066,Not Applicable
614067,Not Applicable
614056,Not Applicable
614042,Not Applicable
614038,Not Applicable
614037,Not Applicable
614036,Not Applicable
614021,Not Applicable
614018,Not Applicable
614007,Not Applicable
613979,Not Applicable
613976,Not Applicable
613975,Not Applicable
613966,Not Applicable
613965,Not Applicable
613964,Not Applicable
613947,Not Applicable
613938,Not Applicable
613918,Not Applicable
613917,Not Applicable
613879,Not Applicable
613861,Not Applicable
613858,Not Applicable
613854,Not Applicable
613852,Not Applicable
613850,Not Applicable
613825,Not Applicable
613818,Not Applicable
613814,Not Applicable
613809,Not Applicable
613797,Not Applicable
613774,Not Applicable
613769,Not Applicable
613750,Not Applicable
613738,Not Applicable
613732,Not Applicable
613711,Not Applicable
613707,Not Applicable
613698,Not Applicable
613697,Not Applicable
613689,Not Applicable
613688,Not Applicable
613684,Not Applicable
613680,Not Applicable
613679,Not Applicable
613668,Not Applicable
613660,Not Applicable
613659,Not Applicable
613655,Not Applicable
613650,Not Applicable
613635,Not Applicable
613632,Not Applicable
613633,Not Applicable
613624,Not Applicable
613622,Not Applicable
613614,Not Applicable
613611,Not Applicable
613597,Not Applicable
613583,Not Applicable
613574,Not Applicable
613565,Not Applicable
613553,Not Applicable
613545,Not Applicable
613544,Not Applicable
613542,Not Applicable
613541,Not Applicable
613533,Not Applicable
613525,Not Applicable
613517,Not Applicable
613506,Not Applicable
613497,Not Applicable
613488,Not Applicable
613483,Not Applicable
613459,Not Applicable
613440,Not Applicable
613438,Not Applicable
613423,Not Applicable
613405,Not Applicable
613398,Not Applicable
613391,Not Applicable
613383,Not Applicable
613378,Not Applicable
613352,Not Applicable
613346,Not Applicable
613343,Not Applicable
613339,Not Applicable
613330,Not Applicable
613326,Not Applicable
613322,Not Applicable
613318,Not Applicable
613289,Not Applicable
613275,Not Applicable
613210,Not Applicable
613195,Not Applicable
613194,Not Applicable
613193,Not Applicable
613188,Not Applicable
613178,Not Applicable
613149,Not Applicable
613148,Not Applicable
613129,Not Applicable
613102,Not Applicable
613099,Not Applicable
613087,Not Applicable
613083,Not Applicable
613070,Not Applicable
613046,Not Applicable
613042,Not Applicable
613035,Not Applicable
613027,Not Applicable
613019,Not Applicable
613016,Not Applicable
612984,Not Applicable
612983,Not Applicable
612980,Not Applicable
612971,Not Applicable
612968,Not Applicable
612954,Not Applicable
612946,Not Applicable
612920,Not Applicable
612919,Not Applicable
612899,Not Applicable
612884,Not Applicable
612877,Not Applicable
612869,Not Applicable
612862,Not Applicable
612846,Not Applicable
612838,Not Applicable
612836,Not Applicable
612830,Not Applicable
612809,Not Applicable
612802,Not Applicable
612796,Not Applicable
612791,Not Applicable
612780,Not Applicable
612771,Not Applicable
612761,Not Applicable
612752,Not Applicable
612748,Not Applicable
612745,Not Applicable
612740,Not Applicable
612736,Not Applicable
612731,Not Applicable
612728,Not Applicable
612711,Not Applicable
612709,Not Applicable
612699,Not Applicable
612698,Not Applicable
612690,Not Applicable
612680,Not Applicable
612679,Not Applicable
612669,Not Applicable
612658,Not Applicable
612657,Not Applicable
612647,Not Applicable
612639,Not Applicable
612637,Not Applicable
612618,Not Applicable
612605,Not Applicable
612603,Not Applicable
612598,Not Applicable
612587,Not Applicable
612578,Not Applicable
612572,Not Applicable
612548,Not Applicable
612546,Not Applicable
612542,Not Applicable
612532,Not Applicable
612511,Not Applicable
612509,Not Applicable
612484,Not Applicable
612479,Not Applicable
612469,Not Applicable
612466,Not Applicable
612458,Not Applicable
612428,Not Applicable
612424,Not Applicable
612395,Not Applicable
612345,Not Applicable
612320,Not Applicable
612304,Not Applicable
612298,Not Applicable
612293,Not Applicable
612288,Not Applicable
612266,Not Applicable
612252,Not Applicable
612248,Not Applicable
612233,Not Applicable
612231,Not Applicable
612223,Not Applicable
612180,Not Applicable
612162,Not Applicable
612160,Not Applicable
612152,Not Applicable
612148,Not Applicable
612147,Not Applicable
612134,Not Applicable
612085,Not Applicable
612074,Not Applicable
612067,Not Applicable
612062,Not Applicable
612050,Not Applicable
612047,Not Applicable
612038,Not Applicable
612027,Not Applicable
612022,Not Applicable
612020,Not Applicable
612006,Not Applicable
612000,Not Applicable
611999,Not Applicable
611994,Not Applicable
611960,Not Applicable
611948,Not Applicable
611944,Not Applicable
611935,Not Applicable
611930,Not Applicable
611920,Not Applicable
611910,Not Applicable
611906,Not Applicable
611900,Not Applicable
611884,Not Applicable
611873,Not Applicable
611863,Not Applicable
611849,Not Applicable
611844,Not Applicable
611801,Not Applicable
611795,Not Applicable
611790,Not Applicable
611752,Not Applicable
611746,Not Applicable
611733,Not Applicable
611732,Not Applicable
611720,Not Applicable
611715,Not Applicable
611662,Not Applicable
611658,Not Applicable
611651,Not Applicable
611640,Not Applicable
611599,Not Applicable
611595,Not Applicable
611592,Not Applicable
611589,Not Applicable
611567,Not Applicable
611560,Not Applicable
611558,Not Applicable
611552,Not Applicable
611543,Not Applicable
611536,Not Applicable
611523,Not Applicable
611519,Not Applicable
611498,Not Applicable
611478,Not Applicable
611458,Not Applicable
611456,Not Applicable
611447,Not Applicable
611444,Not Applicable
611433,Not Applicable
611410,Not Applicable
611386,Not Applicable
611380,Not Applicable
611379,Not Applicable
611369,Not Applicable
611368,Not Applicable
611359,Not Applicable
611355,Not Applicable
611351,Not Applicable
611347,Not Applicable
611316,Not Applicable
611308,Not Applicable
611302,Not Applicable
611296,Not Applicable
611284,Not Applicable
611283,Not Applicable
611277,Not Applicable
611262,Not Applicable
611257,Not Applicable
611251,Not Applicable
611225,Not Applicable
611224,Not Applicable
611223,Not Applicable
611217,Not Applicable
611216,Not Applicable
611211,Not Applicable
611207,Not Applicable
611201,Not Applicable
611192,Not Applicable
611186,Not Applicable
611185,Not Applicable
611183,Not Applicable
611181,Not Applicable
611153,Not Applicable
611150,Not Applicable
611144,Not Applicable
611143,Not Applicable
611142,Not Applicable
611126,Not Applicable
611118,Not Applicable
611103,Not Applicable
611101,Not Applicable
611079,Not Applicable
611078,Not Applicable
611076,Not Applicable
611072,Not Applicable
611068,Not Applicable
611064,Not Applicable
611055,Not Applicable
611052,Not Applicable
611048,Not Applicable
611029,Not Applicable
610994,Not Applicable
610985,Not Applicable
610976,Not Applicable
610971,Not Applicable
610957,Not Applicable
610956,Not Applicable
610944,Not Applicable
610920,Not Applicable
610904,Not Applicable
610888,Not Applicable
610883,Not Applicable
610872,Not Applicable
610866,Not Applicable
610865,Not Applicable
610860,Not Applicable
610833,Not Applicable
610800,Not Applicable
610784,Not Applicable
610781,Not Applicable
610779,Not Applicable
610777,Not Applicable
610776,Not Applicable
610766,Not Applicable
610757,Not Applicable
610749,Not Applicable
610744,Not Applicable
610717,Not Applicable
610684,Not Applicable
610683,Not Applicable
610682,Not Applicable
610672,Not Applicable
610671,Not Applicable
610663,Not Applicable
610662,Not Applicable
610661,Not Applicable
610651,Not Applicable
610648,Not Applicable
610615,Not Applicable
610601,Not Applicable
610590,Not Applicable
610582,Not Applicable
610574,Not Applicable
610568,Not Applicable
610562,Not Applicable
610550,Not Applicable
610525,Not Applicable
610523,Not Applicable
610511,Not Applicable
610510,Not Applicable
610499,Not Applicable
610490,Not Applicable
610485,Not Applicable
610473,Not Applicable
610472,Not Applicable
610461,Not Applicable
610458,Not Applicable
610456,Not Applicable
610453,Not Applicable
610441,Not Applicable
610437,Not Applicable
610435,Not Applicable
610418,Not Applicable
610408,Not Applicable
610398,Not Applicable
610391,Not Applicable
610385,Not Applicable
610383,Not Applicable
610382,Not Applicable
610375,Not Applicable
610364,Not Applicable
610357,Not Applicable
610341,Not Applicable
610339,Not Applicable
610330,Not Applicable
610311,Not Applicable
610300,Not Applicable
610294,Not Applicable
610290,Not Applicable
610280,Not Applicable
610273,Not Applicable
610270,Not Applicable
610249,Not Applicable
610230,Not Applicable
610220,Not Applicable
610208,Not Applicable
610199,Not Applicable
610172,Not Applicable
610165,Not Applicable
610164,Not Applicable
610159,Not Applicable
610153,Not Applicable
610147,Not Applicable
610145,Not Applicable
610141,Not Applicable
610139,Not Applicable
610131,Not Applicable
610126,Not Applicable
610099,Not Applicable
610095,Not Applicable
594251,Search
610091,Not Applicable
610077,Not Applicable
610052,Not Applicable
610041,Not Applicable
610025,Not Applicable
610000,Not Applicable
609999,Not Applicable
609962,Not Applicable
609951,Not Applicable
609920,Not Applicable
609912,Not Applicable
609902,Not Applicable
609897,Not Applicable
609892,Not Applicable
609879,Not Applicable
609871,Not Applicable
609859,Not Applicable
609858,Not Applicable
609847,Not Applicable
609838,Not Applicable
609832,Not Applicable
609826,Not Applicable
609819,Not Applicable
609808,Not Applicable
609801,Not Applicable
609761,Not Applicable
609752,Not Applicable
609739,Not Applicable
609731,Not Applicable
609708,Not Applicable
609706,Not Applicable
609702,Not Applicable
609701,Not Applicable
609697,Not Applicable
609686,Not Applicable
609677,Not Applicable
609659,Not Applicable
609640,Not Applicable
609634,Not Applicable
609620,Not Applicable
609618,Not Applicable
609598,Not Applicable
609592,Not Applicable
609589,Not Applicable
609588,Not Applicable
609585,Not Applicable
609576,Not Applicable
609574,Not Applicable
609567,Not Applicable
609561,Not Applicable
609557,Not Applicable
609554,Not Applicable
609540,Not Applicable
609537,Not Applicable
609517,Not Applicable
609514,Not Applicable
609500,Not Applicable
609489,Not Applicable
609486,Not Applicable
609475,Not Applicable
609470,Not Applicable
609465,Not Applicable
609464,Not Applicable
609462,Not Applicable
609451,Not Applicable
609437,Not Applicable
609435,Not Applicable
609431,Not Applicable
609429,Not Applicable
609425,Not Applicable
609419,Not Applicable
609409,Not Applicable
609397,Not Applicable
609387,Not Applicable
609385,Not Applicable
609383,Not Applicable
609372,Not Applicable
609362,Not Applicable
609355,Not Applicable
609354,Not Applicable
609351,Not Applicable
609349,Not Applicable
609334,Not Applicable
609333,Not Applicable
609314,Not Applicable
609296,Not Applicable
609278,Not Applicable
609268,Not Applicable
609266,Not Applicable
609249,Not Applicable
609244,Not Applicable
609219,Not Applicable
609211,Not Applicable
609210,Not Applicable
609203,Not Applicable
609202,Not Applicable
609195,Not Applicable
609192,Not Applicable
609191,Not Applicable
609185,Not Applicable
609182,Not Applicable
609181,Not Applicable
609176,Not Applicable
609170,Not Applicable
609169,Not Applicable
609166,Not Applicable
609161,Not Applicable
609160,Not Applicable
609145,Not Applicable
609141,Not Applicable
609137,Not Applicable
609135,Not Applicable
609130,Not Applicable
609128,Not Applicable
609103,Not Applicable
609098,Not Applicable
609095,Not Applicable
609080,Not Applicable
609072,Not Applicable
609068,Not Applicable
609067,Not Applicable
609051,Not Applicable
609043,Not Applicable
609041,Not Applicable
609024,Not Applicable
609021,Not Applicable
609020,Not Applicable
609012,Not Applicable
609006,Not Applicable
609002,Not Applicable
609001,Not Applicable
608990,Not Applicable
608967,Not Applicable
608963,Not Applicable
608960,Not Applicable
608941,Not Applicable
608929,Not Applicable
608916,Not Applicable
608912,Not Applicable
608909,Not Applicable
608908,Not Applicable
608902,Not Applicable
608901,Not Applicable
608897,Not Applicable
608896,Not Applicable
608893,Not Applicable
608882,Not Applicable
608869,Not Applicable
608857,Not Applicable
608852,Not Applicable
608851,Not Applicable
608842,Not Applicable
608835,Not Applicable
608834,Not Applicable
608823,Not Applicable
608819,Not Applicable
608809,Not Applicable
608807,Not Applicable
608793,Not Applicable
608791,Not Applicable
608784,Not Applicable
608760,Not Applicable
608758,Not Applicable
608753,Not Applicable
608751,Not Applicable
608733,Not Applicable
608730,Not Applicable
608727,Not Applicable
608721,Not Applicable
608711,Not Applicable
608709,Not Applicable
608699,Not Applicable
608687,Not Applicable
608677,Not Applicable
608663,Not Applicable
608638,Not Applicable
608636,Not Applicable
608635,Not Applicable
608628,Not Applicable
608619,Not Applicable
608612,Not Applicable
608606,Not Applicable
608597,Not Applicable
608583,Not Applicable
608581,Not Applicable
608573,Not Applicable
608571,Not Applicable
608567,Not Applicable
608557,Not Applicable
608544,Not Applicable
608541,Not Applicable
608540,Not Applicable
608539,Not Applicable
608537,Not Applicable
608529,Not Applicable
608492,Not Applicable
608489,Not Applicable
608488,Not Applicable
608483,Not Applicable
608481,Not Applicable
608470,Not Applicable
608451,Not Applicable
608449,Not Applicable
608443,Not Applicable
608440,Not Applicable
608439,Not Applicable
608436,Not Applicable
608434,Not Applicable
608427,Not Applicable
608412,Not Applicable
608409,Not Applicable
608408,Not Applicable
608403,Not Applicable
608398,Not Applicable
608371,Not Applicable
608370,Not Applicable
608369,Not Applicable
608365,Not Applicable
608360,Not Applicable
608349,Not Applicable
608348,Not Applicable
608336,Not Applicable
608334,Not Applicable
608332,Not Applicable
608330,Not Applicable
608325,Not Applicable
608316,Not Applicable
608309,Not Applicable
608307,Not Applicable
608305,Not Applicable
608302,Not Applicable
608290,Not Applicable
608284,Not Applicable
608277,Not Applicable
608267,Not Applicable
608266,Not Applicable
608261,Not Applicable
608257,Not Applicable
608255,Not Applicable
608251,Not Applicable
608250,Not Applicable
608246,Not Applicable
608239,Not Applicable
608233,Not Applicable
608231,Not Applicable
608218,Not Applicable
608217,Not Applicable
608212,Not Applicable
608186,Not Applicable
608183,Not Applicable
608181,Not Applicable
608175,Not Applicable
608169,Not Applicable
608164,Not Applicable
608163,Not Applicable
608161,Not Applicable
608150,Not Applicable
608143,Not Applicable
608135,Not Applicable
608132,Not Applicable
608131,Not Applicable
608125,Not Applicable
608120,Not Applicable
608116,Not Applicable
608114,Not Applicable
608107,Not Applicable
608106,Not Applicable
608100,Not Applicable
608096,Not Applicable
608093,Not Applicable
608088,Not Applicable
608081,Not Applicable
608077,Not Applicable
608064,Not Applicable
608055,Not Applicable
608049,Not Applicable
608022,Not Applicable
608009,Not Applicable
608003,Not Applicable
608001,Not Applicable
607984,Not Applicable
607965,Not Applicable
607964,Not Applicable
607963,Not Applicable
607939,Not Applicable
607929,Not Applicable
607916,Not Applicable
607907,Not Applicable
607902,Not Applicable
607885,Not Applicable
607877,Not Applicable
607867,Not Applicable
607850,Not Applicable
607845,Not Applicable
607837,Not Applicable
607814,Not Applicable
607799,Not Applicable
607795,Not Applicable
607774,Not Applicable
607765,Not Applicable
607756,Not Applicable
607748,Not Applicable
607745,Not Applicable
607738,Not Applicable
607737,Not Applicable
607721,Not Applicable
607699,Not Applicable
607697,Not Applicable
607690,Not Applicable
607689,Not Applicable
607688,Not Applicable
607674,Not Applicable
607673,Not Applicable
607656,Not Applicable
607643,Not Applicable
607640,Not Applicable
607639,Not Applicable
607638,Not Applicable
607630,Not Applicable
607626,Not Applicable
607615,Not Applicable
607614,Not Applicable
607611,Not Applicable
607605,Not Applicable
607575,Not Applicable
607568,Not Applicable
607556,Not Applicable
607548,Not Applicable
607542,Not Applicable
607539,Not Applicable
607532,Not Applicable
607531,Not Applicable
607520,Not Applicable
607501,Not Applicable
607498,Not Applicable
607497,Not Applicable
607494,Not Applicable
607491,Not Applicable
607487,Not Applicable
607485,Not Applicable
607483,Not Applicable
607481,Not Applicable
607476,Not Applicable
607471,Not Applicable
607470,Not Applicable
607467,Not Applicable
607465,Not Applicable
607459,Not Applicable
607416,Not Applicable
607413,Not Applicable
607411,Not Applicable
607384,Not Applicable
607383,Not Applicable
607362,Not Applicable
607359,Not Applicable
607357,Not Applicable
607355,Not Applicable
607345,Not Applicable
607344,Not Applicable
607341,Not Applicable
607333,Not Applicable
607320,Not Applicable
607318,Not Applicable
607310,Not Applicable
607308,Not Applicable
607283,Not Applicable
607282,Not Applicable
607279,Not Applicable
607274,Not Applicable
607273,Not Applicable
607266,Not Applicable
607265,Not Applicable
607259,Not Applicable
607239,Not Applicable
592855,Search
607232,Not Applicable
607231,Not Applicable
607221,Not Applicable
607213,Not Applicable
607198,Not Applicable
607173,Not Applicable
607172,Not Applicable
607159,Not Applicable
607154,Not Applicable
607149,Not Applicable
607148,Not Applicable
607144,Not Applicable
607141,Not Applicable
607134,Not Applicable
607133,Not Applicable
607128,Not Applicable
607115,Not Applicable
607109,Not Applicable
607106,Not Applicable
607104,Not Applicable
607101,Not Applicable
607097,Not Applicable
607089,Not Applicable
607069,Not Applicable
607067,Not Applicable
607066,Not Applicable
607059,Not Applicable
607050,Not Applicable
607049,Not Applicable
607046,Not Applicable
607036,Not Applicable
607015,Not Applicable
606988,Not Applicable
606986,Not Applicable
606982,Not Applicable
606981,Not Applicable
606978,Not Applicable
606976,Not Applicable
606970,Not Applicable
606961,Not Applicable
606951,Not Applicable
606927,Not Applicable
606920,Not Applicable
606905,Not Applicable
606903,Not Applicable
606902,Not Applicable
606895,Not Applicable
606893,Not Applicable
606890,Not Applicable
606886,Not Applicable
606878,Not Applicable
606872,Not Applicable
606860,Not Applicable
606851,Not Applicable
606850,Not Applicable
606827,Not Applicable
606823,Not Applicable
606821,Not Applicable
606814,Not Applicable
606803,Not Applicable
606790,Not Applicable
606789,Not Applicable
606788,Not Applicable
606773,Not Applicable
606760,Not Applicable
606750,Not Applicable
606748,Not Applicable
606730,Not Applicable
606704,Not Applicable
606702,Not Applicable
606698,Not Applicable
606685,Not Applicable
606679,Not Applicable
606677,Not Applicable
606675,Not Applicable
606672,Not Applicable
606664,Not Applicable
606663,Not Applicable
606661,Not Applicable
606658,Not Applicable
606653,Not Applicable
606650,Not Applicable
606643,Not Applicable
606642,Not Applicable
606618,Not Applicable
606606,Not Applicable
606594,Not Applicable
606592,Not Applicable
606589,Not Applicable
606574,Not Applicable
606573,Not Applicable
606572,Not Applicable
606560,Not Applicable
606559,Not Applicable
606552,Not Applicable
606548,Not Applicable
606530,Not Applicable
606526,Not Applicable
606524,Not Applicable
606520,Not Applicable
606513,Not Applicable
606510,Not Applicable
606508,Not Applicable
606507,Not Applicable
606502,Not Applicable
606497,Not Applicable
606491,Not Applicable
606481,Not Applicable
606479,Not Applicable
606475,Not Applicable
606470,Not Applicable
606458,Not Applicable
606428,Not Applicable
606418,Not Applicable
606410,Not Applicable
606409,Not Applicable
606404,Not Applicable
606393,Not Applicable
606387,Not Applicable
606383,Not Applicable
606381,Not Applicable
606340,Not Applicable
606337,Not Applicable
606336,Not Applicable
606332,Not Applicable
606327,Not Applicable
606316,Not Applicable
606314,Not Applicable
606311,Not Applicable
606309,Not Applicable
606306,Not Applicable
606303,Not Applicable
606298,Not Applicable
606276,Not Applicable
606271,Not Applicable
606265,Not Applicable
606192,Not Applicable
606187,Not Applicable
606186,Not Applicable
606185,Not Applicable
606175,Not Applicable
606165,Not Applicable
606155,Not Applicable
606153,Not Applicable
606151,Not Applicable
606149,Not Applicable
606136,Not Applicable
606135,Not Applicable
606126,Not Applicable
606102,Not Applicable
606086,Not Applicable
606054,Not Applicable
606053,Not Applicable
606038,Not Applicable
606035,Not Applicable
606028,Not Applicable
605983,Not Applicable
605966,Not Applicable
605931,Not Applicable
605902,Not Applicable
605894,Not Applicable
605884,Not Applicable
605857,Not Applicable
605849,Not Applicable
605839,Not Applicable
605829,Not Applicable
605816,Not Applicable
605805,Not Applicable
605793,Not Applicable
605788,Not Applicable
605787,Not Applicable
605786,Not Applicable
605767,Not Applicable
605755,Not Applicable
605734,Not Applicable
605723,Not Applicable
605722,Not Applicable
605698,Not Applicable
605693,Not Applicable
605681,Not Applicable
605656,Not Applicable
605655,Not Applicable
605654,Not Applicable
605652,Not Applicable
605649,Not Applicable
605638,Not Applicable
605636,Not Applicable
605617,Not Applicable
605606,Not Applicable
605602,Not Applicable
605592,Not Applicable
605588,Not Applicable
605583,Not Applicable
605580,Not Applicable
605566,Not Applicable
605502,Not Applicable
605499,Not Applicable
605487,Not Applicable
605481,Not Applicable
605471,Not Applicable
605469,Not Applicable
605458,Not Applicable
605442,Not Applicable
605434,Not Applicable
605432,Not Applicable
605423,Not Applicable
605419,Not Applicable
605416,Not Applicable
605394,Not Applicable
605375,Not Applicable
605365,Not Applicable
605363,Not Applicable
605351,Not Applicable
605343,Not Applicable
605341,Not Applicable
605335,Not Applicable
605332,Not Applicable
605331,Not Applicable
605328,Not Applicable
605326,Not Applicable
605325,Not Applicable
